start_id,iteration,objective_value,w1,w2,w3,w7,w9,w10,w11,avg_power,t_rise_50,delay_ps,pdp
1,1,-12357.73976042016,4.16004e-05,4.86204e-11,4.86204e-11,2.02263e-15,1152.4784887478022,985.5998026457153,1101.410238067931,584.0416837143451,823.757081300147,737.7000006169369,783.9639701172032
3,1,-12307.275973392365,2.42459e-05,2.77795e-11,2.77795e-11,6.73539e-16,1335.783289253157,1284.7941713783268,1021.6457150764332,641.5557761430778,664.5953228411425,617.8673447251665,582.9345697788784
6,1,-11650.18953242773,4.16118e-05,-4.9978e-11,-4.9978e-11,-2.07967e-15,926.1035202667751,924.943023538237,999.3822878098864,699.4333393937296,852.5221763716211,713.7493787910487,719.1580150425673
8,1,-12883.30963577671,6.55441e-05,4.59511e-11,4.59511e-11,3.01182e-15,1201.0698126171962,1331.54198412058,1081.3933056471978,604.883584998699,840.3045189153091,717.6374528029418,652.6994987864305
2,1,-4068414.6357795224,4.11135e-05,1.00002e-05,1.00002e-05,4.11141e-10,1179.9225781175467,1161.4147602403411,1264.746853722349,690.9671915791619,721.9134908379159,640.8976718873703,674.9553433764567
7,1,-12328.206917382851,3.8487e-05,3.81439e-11,3.81439e-11,1.46804e-15,1288.7171749038139,1013.6520908543524,924.7089314080374,608.8574914552212,847.6329148271415,826.7403873355829,646.3099779072766
5,1,-12501.802388755288,4.47215e-05,4.66985e-11,4.66985e-11,2.08842e-15,941.3332581512914,1207.7889839913462,1155.1697075836269,780.1031046307138,641.7855531506391,657.8572454112132,856.9724414588136
4,1,-4667929.374618805,5.31152e-05,1.00002e-05,1.00002e-05,5.3116e-10,1104.7295785574897,1119.2791229943655,936.2150650582912,760.4084285631434,739.7905091224692,736.4601575112512,647.8044475955846
7,2,-12327.676060418853,3.8485e-05,3.81434e-11,3.81434e-11,1.46795e-15,1288.6732459198138,1013.6081637183524,924.6648990240374,608.8350289492212,847.6104128751415,826.6963344475829,646.2657302752766
4,2,-122910.1144588052,0.000173434,-2.44141e-10,-2.44141e-10,-4.23423e-14,9868.67157855749,21604.898945596367,923.7850650582913,6594.478428563144,731.4965091224692,728.5621575112511,21133.434394993583
